,AVR,COSA2,BTORMC,THP,Z3,Eld,BvITP,NOTIGHT,SyGuSAPDR,AVR-2020,GspacerBV
wolf/2018D/zipcpu-zipmmu-p14.chc,17.444123,1373.03334,1120.123802,na,na,na,na,na,na,27.733022,na
wolf/2018D/zipcpu-zipmmu-p24.chc,24.367598,na,na,na,na,na,na,na,na,55.905214,na
wolf/2018D/zipcpu-zipmmu-p26.chc,91.351542,na,na,na,na,na,na,na,na,127.18011,na
wolf/2018D/zipcpu-zipmmu-p32.chc,0.392962,1.093992,na,na,0.471814,na,na,8.219072,0.416396,0.509303,0.851014
wolf/2018D/zipcpu-zipmmu-p38.chc,17.033393,1079.057837,708.636068,na,1059.290625,na,na,na,na,33.246807,na
wolf/2018D/zipcpu-zipmmu-p39.chc,0.94074,1305.526826,na,na,12.158177,na,na,214.717759,17.529087,1.81672,14.335917
wolf/2019A/picorv32_mutAX_nomem-p4.chc,101.181595,92.646611,87.00244,223.223846,na,na,na,na,na,356.035968,na
wolf/2019A/picorv32_mutAX_nomem-p8.chc,430.496187,269.724614,395.980252,680.90532,na,na,na,na,na,811.082356,na
wolf/2019A/picorv32_mutAY_nomem-p4.chc,85.974818,30.780096,33.372073,112.399221,na,na,na,na,na,92.672085,na
wolf/2019A/picorv32_mutAY_nomem-p7.chc,86.432786,95.174296,71.361551,207.587095,na,na,na,na,na,280.714688,na
wolf/2019A/picorv32_mutAY_nomem-p8.chc,525.155082,256.646859,160.223611,298.596565,na,na,na,na,na,271.720468,na
wolf/2019A/picorv32_mutBX_nomem-p0.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019A/picorv32_mutBX_nomem-p1.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019A/picorv32_mutBX_nomem-p3.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019A/picorv32_mutBX_nomem-p7.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019A/picorv32_mutBX_nomem-p8.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019A/picorv32_mutBY_nomem-p8.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019A/picorv32_mutCX_nomem-p3.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019A/picorv32_mutCX_nomem-p4.chc,1159.937701,1124.51107,1061.589245,2585.627448,na,na,na,na,na,2043.477467,na
wolf/2019A/picorv32_mutCX_nomem-p7.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019A/picorv32_mutCX_nomem-p8.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019A/picorv32_mutCY_nomem-p4.chc,977.885912,503.122574,458.09956,1501.288551,na,na,na,na,na,1274.38707,na
wolf/2019A/picorv32_mutCY_nomem-p5.chc,1812.522963,1905.153547,1345.556063,2543.551252,na,na,na,na,na,3303.096521,na
wolf/2019A/picorv32_mutCY_nomem-p8.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019B/marlann_compute_cp_fail1-p2.chc,2305.851074,0.580745,0.101748,na,17.799796,na,na,121.353084,121.353084,2.844884,47.741487
wolf/2019B/marlann_compute_cp_fail2-p0.chc,612.115662,0.587232,0.101248,na,5.403135,na,na,51.598391,13.192834,0.553971,23.296097
wolf/2019B/marlann_compute_cp_pass-p2.chc,1851.157849,0.58465,0.280768,na,12.73616,na,na,123.038672,123.038672,3.589581,39.387209
wolf/2019C/dspfilters_fastfir_second-p04.chc,43.069147,1.079847,0.649279,na,295.982208,na,na,na,na,3.191365,2613.016969
wolf/2019C/dspfilters_fastfir_second-p07.chc,236.148394,6.62582,1.915895,na,728.519386,na,na,na,na,5.500219,na
wolf/2019C/dspfilters_fastfir_second-p08.chc,na,892.018344,448.399688,na,na,na,na,na,na,1485.218626,na
wolf/2019C/dspfilters_fastfir_second-p09.chc,na,26.750013,20.149251,na,na,na,na,na,na,35.761771,na
wolf/2019C/dspfilters_fastfir_second-p15.chc,na,150.560986,57.782365,na,na,na,na,na,na,230.959012,na
wolf/2019C/dspfilters_fastfir_second-p16.chc,na,10.641573,4.332836,na,na,na,na,na,na,4.480405,na
wolf/2019C/dspfilters_fastfir_second-p17.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019C/dspfilters_fastfir_second-p20.chc,na,3459.705723,1958.513707,na,na,na,na,na,na,na,na
wolf/2019C/dspfilters_fastfir_second-p21.chc,199.520049,1.081828,0.439806,na,149.432816,na,na,na,na,3.403565,na
wolf/2019C/dspfilters_fastfir_second-p22.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019C/dspfilters_fastfir_second-p26.chc,na,1855.254838,1042.234513,na,na,na,na,na,na,na,na
wolf/2019C/dspfilters_fastfir_second-p28.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019C/dspfilters_fastfir_second-p29.chc,na,674.100066,247.662899,na,na,na,na,na,na,985.008212,na
wolf/2019C/dspfilters_fastfir_second-p30.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2019C/dspfilters_fastfir_second-p32.chc,na,84.085743,74.283732,na,na,na,na,na,na,120.223628,na
wolf/2019C/dspfilters_fastfir_second-p40.chc,na,na,3384.605539,na,na,na,na,na,na,na,na
wolf/2019C/dspfilters_fastfir_second-p45.chc,na,465.836713,323.677536,na,na,na,na,na,na,873.631227,na
wolf/2019C/qspiflash_dualflexpress_divfive-p004.chc,na,na,na,na,na,na,na,na,na,19.888057,na
wolf/2019C/qspiflash_dualflexpress_divfive-p007.chc,na,na,na,na,na,na,na,na,na,3463.890061,na
wolf/2019C/qspiflash_dualflexpress_divfive-p012.chc,na,na,na,na,na,na,na,na,na,40.194677,1463.764829
wolf/2019C/qspiflash_dualflexpress_divfive-p017.chc,na,0.593256,0.01879,na,0.12986,na,0.106204,0.094901,0.079819,0.409909,0.173022
wolf/2019C/qspiflash_dualflexpress_divfive-p018.chc,na,0.574124,0.079975,na,0.351275,na,na,2.432087,0.26201,0.418419,0.685959
wolf/2019C/qspiflash_dualflexpress_divfive-p036.chc,na,na,na,na,1.821469,na,na,na,307.652419,1.774206,4.448662
